T,s,KL
100,0,0.049215640958060136
100,1,0.04038591030765246
100,2,0.06580960751386483
100,3,0.018922296186863717
100,4,0.14292955507441127
100,5,0.06455816747251247
100,6,0.01670009707441802
100,7,0.031165883781430148
100,8,0.12834676089438507
100,9,0.03442449288395392
100,10,0.031117476353111434
100,11,0.04463377052854232
100,12,0.03548221800562143
100,13,0.07295518962092526
100,14,0.06387719144619627
100,15,0.021469191318233955
100,16,0.02987281714183037
100,17,0.0987490957561169
100,18,0.02520370324033449
100,19,0.013742113597434671
100,20,0.019080381111363114
100,21,0.05372342603154509
100,22,0.023870696430892575
100,23,0.13191878159332443
100,24,0.04186687186934295
100,25,0.08830884569996561
100,26,0.047682205922731855
100,27,0.0315292560407528
100,28,0.027927486440674117
100,29,0.03330281548158444
100,30,0.02041808746643359
100,31,0.10628512934232383
100,32,0.013261328149030926
100,33,0.06056612437454616
100,34,0.09135560768638919
100,35,0.03953868313985372
100,36,0.021269524059192715
100,37,0.02164907260296565
100,38,0.06973170640022672
100,39,0.047153076497465744
100,40,0.04449814077529891
100,41,0.0366457593713661
100,42,0.027269770017305447
100,43,0.09631493141418598
100,44,0.02723773474603026
100,45,0.04202927126751287
100,46,0.08399446002090984
100,47,0.027726308136708466
100,48,0.0199712878338886
100,49,0.0816785415129133
200,0,0.021323539210404054
200,1,0.031878243895258875
200,2,0.030949020323298264
200,3,0.03943652996226368
200,4,0.033817941613589794
200,5,0.01751862540996769
200,6,0.06187352141086866
200,7,0.01904892765533591
200,8,0.019724456048962703
200,9,0.03000484686687382
200,10,0.041258729190346496
200,11,0.01066628110256452
200,12,0.029753410766104653
200,13,0.013266387073202136
200,14,0.04136991240259824
200,15,0.06707378169370692
200,16,0.049623221860063974
200,17,0.013498390088003633
200,18,0.01292503100689851
200,19,0.023237837503538358
200,20,0.010891205886922292
200,21,0.02243946150643432
200,22,0.016369652561441458
200,23,0.020785799320575084
200,24,0.009852540947916561
200,25,0.02212985088755498
200,26,0.009194507420704316
200,27,0.022061375616874452
200,28,0.028686694543264633
200,29,0.01848766492046271
200,30,0.01442785025199744
200,31,0.014358426484881696
200,32,0.026725151681661424
200,33,0.02011998061505154
200,34,0.022156900012275382
200,35,0.031563721640206724
200,36,0.015272583208624738
200,37,0.007198159640547307
200,38,0.01850027860280821
200,39,0.011956172701117184
200,40,0.010100069471593821
200,41,0.023346634102037436
200,42,0.01510417620747194
200,43,0.01862554440079784
200,44,0.02250766280984457
200,45,0.013932658437584884
200,46,0.012068058573233722
200,47,0.03971650142621665
200,48,0.038907052588204566
200,49,0.04275677711641905
300,0,0.044650357056849416
300,1,0.028826604059527194
300,2,0.01955994406926674
300,3,0.015900899793034294
300,4,0.022139658150483556
300,5,0.03729264203750096
300,6,0.010190121376743683
300,7,0.043990779855713265
300,8,0.035358186268553575
300,9,0.017444983994471572
300,10,0.013305523911370265
300,11,0.019329003683130223
300,12,0.016852535686138204
300,13,0.008472437662359247
300,14,0.021038366518061118
300,15,0.036221298850780494
300,16,0.023925197751093554
300,17,0.023304184199017437
300,18,0.01851549946087082
300,19,0.027868194506979707
300,20,0.022768510637706168
300,21,0.007647854964951828
300,22,0.02386486373572731
300,23,0.01441615300950546
300,24,0.02913787234690418
300,25,0.03296394769561152
300,26,0.014975086717877933
300,27,0.006049166505130182
300,28,0.007717611309308984
300,29,0.028868748503052842
300,30,0.035373614777991724
300,31,0.008740601121057203
300,32,0.014110738692837441
300,33,0.017073181137062955
300,34,0.010306128560247107
300,35,0.008330644096846553
300,36,0.015668185953049644
300,37,0.04351703920054581
300,38,0.01090785277142679
300,39,0.009018320779589108
300,40,0.017109871286672008
300,41,0.03573089043285757
300,42,0.012459924399477837
300,43,0.02155723595049922
300,44,0.014163644205209262
300,45,0.038153580595022385
300,46,0.012970365199943615
300,47,0.017368368098268784
300,48,0.010887047477996535
300,49,0.007992513806521922
400,0,0.021370619022983407
400,1,0.007300491207677338
400,2,0.005290702708753857
400,3,0.006829172580201992
400,4,0.010769035945189702
400,5,0.013860531376974298
400,6,0.011441138397300203
400,7,0.009449493823649638
400,8,0.024615408201014967
400,9,0.004032416668351683
400,10,0.02538981158724002
400,11,0.034406965408789396
400,12,0.013194375193708769
400,13,0.00644797149168922
400,14,0.018858026560304705
400,15,0.009947794375799396
400,16,0.0107700168539013
400,17,0.022880221857500594
400,18,0.009510664549667508
400,19,0.005404586444348071
400,20,0.010506165319271956
400,21,0.02019953512257026
400,22,0.008458695924638136
400,23,0.01821062478932225
400,24,0.009943796581077635
400,25,0.02476427517397855
400,26,0.01473903924430361
400,27,0.014829982531952491
400,28,0.022032360875498622
400,29,0.02000578597839934
400,30,0.007664237844366885
400,31,0.00937966702191142
400,32,0.009384545973739071
400,33,0.026843011656770308
400,34,0.009225779543407538
400,35,0.005279913192316633
400,36,0.056853866906827595
400,37,0.011150060429686363
400,38,0.01387305292880012
400,39,0.02164929661478143
400,40,0.026482886316292007
400,41,0.009112806722130972
400,42,0.024328270803805133
400,43,0.02116168047369673
400,44,0.0077261264044328525
400,45,0.019360617990798662
400,46,0.011118674340615276
400,47,0.008397582923595562
400,48,0.016610897723272084
400,49,0.023898937349793172
500,0,0.0034895729235174693
500,1,0.010363733671278606
500,2,0.011762262470195142
500,3,0.009139371631121438
500,4,0.0055000460442719
500,5,0.016714539332124634
500,6,0.007521354245813897
500,7,0.010359896434987777
500,8,0.006980234819014838
500,9,0.02240030104931494
500,10,0.004622139806025793
500,11,0.006389279444094846
500,12,0.007451792077160107
500,13,0.01670981225016767
500,14,0.009202806456409758
500,15,0.014441453458418439
500,16,0.005013132883499915
500,17,0.011940777513565457
500,18,0.013278148612394614
500,19,0.019294582021539324
500,20,0.014629317287315771
500,21,0.008985203826535667
500,22,0.0052281300333818
500,23,0.009170740121385728
500,24,0.012771651804920833
500,25,0.009742499554164808
500,26,0.007379985181939735
500,27,0.01515565656671635
500,28,0.01983253801468186
500,29,0.015972645754809285
500,30,0.030361938510245275
500,31,0.006750265263186084
500,32,0.005856117869617348
500,33,0.006927035414430338
500,34,0.01589417158434015
500,35,0.004310195858088797
500,36,0.007401875729161202
500,37,0.002847699353183438
500,38,0.007478286439536612
500,39,0.0128677026296525
500,40,0.015494637297615476
500,41,0.010407722415578819
500,42,0.015034818661026987
500,43,0.013295669420040655
500,44,0.02891154365265787
500,45,0.015487729431470577
500,46,0.02076094993702598
500,47,0.011609109508652979
500,48,0.0060579828926132
500,49,0.017866348973288787
600,0,0.007787068764270882
600,1,0.008564480634143782
600,2,0.00735606803335493
600,3,0.009981388066796427
600,4,0.003643772925149113
600,5,0.005898426847173621
600,6,0.006107964961641263
600,7,0.016947716529858745
600,8,0.011207840910333307
600,9,0.004537142897457646
600,10,0.006069463096485555
600,11,0.007406372304846814
600,12,0.00845295517367023
600,13,0.024337198471996904
600,14,0.008870175682443655
600,15,0.00953038790187767
600,16,0.004306787581277955
600,17,0.010243227633339028
600,18,0.007373361485334398
600,19,0.011412780051723215
600,20,0.01893352979067907
600,21,0.012910098806345777
600,22,0.0035369907707564316
600,23,0.007049360691249641
600,24,0.009798188172720539
600,25,0.008557349114054166
600,26,0.01805023145117294
