T,s,MISE
50,0,0.006573905537016054
50,1,0.017804313963928706
50,2,0.01649658305048636
50,3,0.03563132533663221
50,4,0.019990338542587215
50,5,0.03026422478052107
50,6,0.007922392543260715
50,7,0.011622317110370739
50,8,0.011689286702419425
50,9,0.00999585464239059
50,10,0.03617130021368569
50,11,0.01566295153507093
50,12,0.05508608483735312
50,13,0.005125617411990723
50,14,0.006284916683218581
50,15,0.022460709740692933
50,16,0.013446460170459928
50,17,0.02400978276025564
50,18,0.011649069677092018
50,19,0.018466608167103223
50,20,0.013840604988124906
50,21,0.007365660771444354
50,22,0.01026298302738802
50,23,0.04765523752975103
50,24,0.027386394841136412
50,25,0.006253338875064748
50,26,0.007156001928342905
50,27,0.018504355144244655
50,28,0.008128014136282873
50,29,0.008712614409251048
50,30,0.01716664311328895
50,31,0.02497111104121668
50,32,0.04168293658002413
50,33,0.07502303067909492
50,34,0.02303273806106717
50,35,0.041455759560306296
50,36,0.016001882741336258
50,37,0.026085728904511885
50,38,0.01496202774147128
50,39,0.026415080727084633
50,40,0.04860693592745335
50,41,0.035691628926002264
50,42,0.008250812606259766
50,43,0.004517932155058867
50,44,0.009342075230756471
50,45,0.02140346191553503
50,46,0.021801792093053107
50,47,0.04459724743921213
50,48,0.033251206044587735
50,49,0.00418138211137225
100,0,0.0048445013806980505
100,1,0.013024032383127337
100,2,0.02361652166807646
100,3,0.015481162493877262
100,4,0.0036273435328378167
100,5,0.017815703818453783
100,6,0.01963234609227895
100,7,0.004912356128060643
100,8,0.006771943451903451
100,9,0.02763001802940342
100,10,0.006457663152549675
100,11,0.021378661082636644
100,12,0.00723081938213643
100,13,0.008437355597483298
100,14,0.03126864757286298
100,15,0.014774120697390446
100,16,0.013390093619601896
100,17,0.004273453520889472
100,18,0.019298364647924827
100,19,0.01812016930703838
100,20,0.015770737167781948
100,21,0.011196317982844052
100,22,0.004917757910333029
100,23,0.006286800884351392
100,24,0.003058642341591586
100,25,0.009473094757228429
100,26,0.011397177141228922
100,27,0.025530641391802226
100,28,0.009393618491811265
100,29,0.008414188616032195
100,30,0.023048289079419977
100,31,0.020574261050171
100,32,0.015242036215123449
100,33,0.004518940599737611
100,34,0.017188706876565613
100,35,0.010644561460487954
100,36,0.0027407721678594913
100,37,0.010550377370033769
100,38,0.010402738729391682
100,39,0.012158866173687107
100,40,0.01194257339918403
100,41,0.02477010054902551
100,42,0.028148408628967975
100,43,0.004872004827204206
100,44,0.033608419711417994
100,45,0.004376296186068608
100,46,0.01479065671403474
100,47,0.0022563113041409615
100,48,0.0065594608735473955
100,49,0.010976614196443715
150,0,0.010505154282933893
150,1,0.006493392055951713
150,2,0.0015662452721308018
150,3,0.006608513379993735
150,4,0.0046864662274836225
150,5,0.01683129077301262
150,6,0.0029831209857508994
150,7,0.0092888989609752
150,8,0.003796624057779365
150,9,0.0038429994101507785
150,10,0.014037159159279358
150,11,0.00599731724155899
150,12,0.003658847680517308
150,13,0.020171226372587465
150,14,0.018698917012623235
150,15,0.00388249809447831
150,16,0.006868904883599501
150,17,0.0037857498255794066
150,18,0.007081732339590579
150,19,0.013197321343373715
150,20,0.010045793029412362
150,21,0.025674868000637195
