T,s,SquareDiff
1800,28,3.4560520176281926e-05
1800,29,6.479492219781171e-06
1800,30,6.247242037033157e-06
1800,31,3.7337976684298846e-06
1800,32,3.090034815753873e-05
1800,33,4.555469956830185e-06
1800,34,3.1173855998221797e-06
1800,35,3.9791129021207454e-05
1800,36,2.0345291469123487e-05
1800,37,6.207079837083952e-07
1800,38,2.2924748951467802e-05
1800,39,2.9568840241095264e-05
1800,40,6.479492219781171e-06
1800,41,6.479492219781171e-06
1800,42,7.269784338970853e-05
1800,43,2.785750141352261e-05
1800,44,6.479492219781171e-06
1800,45,6.479492219781171e-06
1800,46,2.9328963984321344e-05
1800,47,6.479492219781171e-06
1800,48,1.7604243104583132e-06
1800,49,1.4289403122967753e-05
1900,0,1.035088545724759e-06
1900,1,3.4560520176281926e-05
1900,2,6.322406280840165e-06
1900,3,1.738069315364721e-06
1900,4,6.207079837083952e-07
1900,5,8.052079141185866e-07
1900,6,5.578386761493018e-06
1900,7,2.664134064265308e-06
1900,8,6.207079837083952e-07
1900,9,6.479492219781171e-06
1900,10,3.4560520176281926e-05
1900,11,9.214975583438814e-06
1900,12,3.4560520176281926e-05
1900,13,9.924660234772084e-06
1900,14,3.2820075245311895e-05
1900,15,1.493544141309006e-05
1900,16,3.4560520176281926e-05
1900,17,6.479492219781171e-06
1900,18,1.063476571868139e-06
1900,19,6.479492219781171e-06
1900,20,2.3643533796267598e-05
1900,21,6.350427183653855e-07
1900,22,4.655382745200197e-06
1900,23,2.6229276511887473e-06
1900,24,6.479492219781171e-06
1900,25,6.479492219781171e-06
1900,26,6.479492219781171e-06
1900,27,1.0422759853537726e-06
1900,28,1.3587645991178818e-06
1900,29,3.4560520176281926e-05
1900,30,9.168993610939614e-06
1900,31,6.479492219781171e-06
1900,32,1.0986969278705378e-05
1900,33,2.578475631997266e-06
1900,34,2.1060552744460105e-06
1900,35,1.9054029084536435e-06
1900,36,4.213363338041796e-06
1900,37,6.207079837083952e-07
1900,38,4.885724832693048e-06
1900,39,1.168922462781388e-05
1900,40,4.687273022268044e-06
1900,41,6.479492219781171e-06
1900,42,6.479492219781171e-06
1900,43,6.1239873040208834e-06
1900,44,1.078972685350908e-06
1900,45,6.479492219781171e-06
1900,46,2.086443624569342e-05
1900,47,6.479492219781171e-06
1900,48,3.256235073506867e-05
1900,49,6.479492219781171e-06
2000,0,6.479492219781171e-06
2000,1,1.2313632033862877e-05
2000,2,7.510842677352032e-07
2000,3,6.479492219781171e-06
2000,4,4.588305485396581e-06
2000,5,2.132769495159765e-05
2000,6,1.2808719843258784e-05
2000,7,1.2719622246143621e-06
2000,8,9.311615693416857e-07
2000,9,2.067063269047317e-06
2000,10,6.479492219781171e-06
2000,11,2.006694963485665e-05
2000,12,2.0412571589805605e-05
2000,13,2.605801097654684e-05
2000,14,6.479492219781171e-06
2000,15,3.932601974440591e-07
2000,16,1.1920003939622177e-05
2000,17,2.9723587704590634e-05
2000,18,6.479492219781171e-06
2000,19,3.4560520176281926e-05
2000,20,2.2759059356000038e-05
2000,21,2.2555640216484437e-05
2000,22,4.298222362559406e-06
2000,23,4.3063098107020645e-06
2000,24,2.8293091787484915e-06
2000,25,6.207079837083952e-07
2000,26,5.705061207454702e-06
2000,27,3.177431994966992e-06
2000,28,6.479492219781171e-06
2000,29,6.479492219781171e-06
2000,30,3.076701625831393e-05
2000,31,6.479492219781171e-06
2000,32,5.415110611004672e-05
2000,33,9.907586835359103e-06
2000,34,2.8699302824203583e-05
2000,35,2.3420397956228757e-06
2000,36,6.479492219781171e-06
2000,37,2.7328361341354346e-05
2000,38,6.479492219781171e-06
2000,39,7.403773560579734e-06
2000,40,2.4275884430051753e-06
2000,41,6.479492219781171e-06
2000,42,1.37250083901214e-05
2000,43,3.4560520176281926e-05
2000,44,3.56680582383074e-06
2000,45,9.09514861893802e-06
2000,46,6.479492219781171e-06
2000,47,6.713866730402892e-06
2000,48,6.479492219781171e-06
2000,49,6.479492219781171e-06
