threshold,T,simNr,threshold_reward,optimal_reward,regret
0.29289323083892876,100,0,7.921843275062191,17.608816148159477,9.686972873097286
0.29289323083892876,100,1,8.538578434784588,19.6156077974149,11.077029362630311
0.29289323083892876,100,2,5.961140994250322,11.720524407487018,5.759383413236695
0.29289323083892876,100,3,7.59387892373276,16.86172065023885,9.267841726506092
0.29289323083892876,100,4,7.240763627975163,18.087808173557423,10.84704454558226
0.29289323083892876,200,0,12.815858438285535,28.518558499593826,15.702700061308292
0.29289323083892876,200,1,18.131535442687643,42.30177011832993,24.170234675642284
0.29289323083892876,200,2,14.094856847059672,30.37336181436038,16.278504967300705
0.29289323083892876,200,3,13.536413935347657,30.852029300641366,17.31561536529371
0.29289323083892876,200,4,17.524598192412473,38.65617002873723,21.131571836324756
0.29289323083892876,300,0,18.853724692570704,45.25474826187082,26.40102356930012
0.29289323083892876,300,1,22.447924973503703,52.10407618840733,29.65615121490363
0.29289323083892876,300,2,20.543682851807898,48.77165023542404,28.227967383616143
0.29289323083892876,300,3,21.493792788919848,44.44833074245791,22.954537953538065
0.29289323083892876,300,4,24.685517132542355,55.195463051673585,30.50994591913123
0.29289323083892876,400,0,25.634527945314222,59.25329758359748,33.618769638283254
0.29289323083892876,400,1,33.40401086250528,76.41988167149891,43.01587080899363
0.29289323083892876,400,2,29.429754169604657,66.25623610442952,36.82648193482486
0.29289323083892876,400,3,36.71687480086345,80.41525095102546,43.698376150162005
0.29289323083892876,400,4,28.45503846589904,63.368194671914644,34.9131562060156
0.29289323083892876,500,0,34.65181817163626,78.10735744280672,43.45553927117046
0.29289323083892876,500,1,33.56977651593115,72.77359765010846,39.2038211341773
0.29289323083892876,500,2,36.957829429123905,84.06976218902399,47.111932759900085
0.29289323083892876,500,3,38.437066249920825,85.80912305963238,47.37205680971156
0.29289323083892876,500,4,37.50357491193523,85.78258731094478,48.279012399009545
0.29289323083892876,600,0,53.341398947387646,118.07641211453922,64.73501316715158
0.29289323083892876,600,1,47.2065246554348,107.1051528394897,59.89862818405491
0.29289323083892876,600,2,48.34338459480229,109.37417813233617,61.03079353753388
0.29289323083892876,600,3,41.7263166746817,94.72476356203606,52.99844688735436
0.29289323083892876,600,4,49.57197457081733,111.01920710819103,61.447232537373694
0.29289323083892876,700,0,49.0502853526363,112.02516429260181,62.974878939965514
0.29289323083892876,700,1,53.62610152081535,119.45501876574909,65.82891724493373
0.29289323083892876,700,2,54.488413680687835,111.93579141663281,57.447377735944976
0.29289323083892876,700,3,51.9511042435547,116.34091835498309,64.3898141114284
0.29289323083892876,700,4,50.556722419220726,118.38845757549558,67.83173515627485
0.29289323083892876,800,0,56.16949548534046,122.43184303829743,66.26234755295697
0.29289323083892876,800,1,53.52529453685067,127.73903723117328,74.2137426943226
0.29289323083892876,800,2,63.7981229121354,146.07002852039176,82.27190560825636
0.29289323083892876,800,3,62.7956898279631,141.4613936365767,78.6657038086136
0.29289323083892876,800,4,62.1597574149931,143.28582656888457,81.12606915389148
0.29289323083892876,900,0,72.58236403436305,163.8120504210737,91.22968638671065
0.29289323083892876,900,1,69.97305230745256,164.05112299429518,94.07807068684262
0.29289323083892876,900,2,72.75124872722526,157.8391455680575,85.08789684083223
0.29289323083892876,900,3,67.92621640703197,157.97845229305628,90.0522358860243
0.29289323083892876,900,4,61.53964858332328,143.21076481522877,81.6711162319055
0.29289323083892876,1000,0,76.60956229205193,172.47786114784012,95.86829885578818
0.29289323083892876,1000,1,72.54084179850517,167.90627319451383,95.36543139600866
0.29289323083892876,1000,2,78.28295127047244,178.0119174330458,99.72896616257336
0.29289323083892876,1000,3,75.16824262643499,171.9601832716527,96.79194064521772
0.29289323083892876,1000,4,67.86541856301133,152.99094463359475,85.12552607058342
0.29289323083892876,1100,0,75.56519841318038,167.24638735318914,91.68118894000875
0.29289323083892876,1100,1,81.70204343782046,191.66904851946185,109.96700508164139
0.29289323083892876,1100,2,84.16058388743534,188.95958915818426,104.79900527074892
0.29289323083892876,1100,3,75.108156530467,171.5984185227956,96.49026199232861
0.29289323083892876,1100,4,78.50224153478584,184.377525171404,105.87528363661815
0.29289323083892876,1200,0,90.52898985011382,209.20528628934048,118.67629643922666
0.29289323083892876,1200,1,95.01816357749625,214.95385161958396,119.9356880420877
0.29289323083892876,1200,2,87.1270406862762,193.98185949040942,106.85481880413322
0.29289323083892876,1200,3,87.44710123954236,204.36871545435795,116.92161421481559
0.29289323083892876,1200,4,87.76913364128677,200.77968194942858,113.01054830814181
0.29289323083892876,1300,0,92.05342372995598,211.1038519119662,119.05042818201021
0.29289323083892876,1300,1,96.7225515322176,223.4120058237944,126.68945429157681
0.29289323083892876,1300,2,96.91056827188521,217.78914277996748,120.87857450808227
0.29289323083892876,1300,3,96.67303462562987,220.33998237934628,123.66694775371641
0.29289323083892876,1300,4,96.58035909780902,219.6941055512136,123.11374645340457
0.29289323083892876,1400,0,103.78618096155715,238.7858893104229,134.99970834886574
0.29289323083892876,1400,1,103.4198241697682,235.1080069203492,131.688182750581
0.29289323083892876,1400,2,108.39544441595967,247.2929414037771,138.89749698781742
0.29289323083892876,1400,3,96.19719286884116,217.2658922736277,121.06869940478656
0.29289323083892876,1400,4,104.328862927157,237.0495052796327,132.7206423524757
0.29289323083892876,1500,0,116.32890873771713,268.457486753733,152.12857801601587
0.29289323083892876,1500,1,109.48672219546725,253.6414616788761,144.15473948340886
0.29289323083892876,1500,2,113.05346452166758,262.275409831673,149.22194531000542
0.29289323083892876,1500,3,110.83946411399907,253.76527960478964,142.92581549079057
